epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,14522.9,0.66457,0.44252,1.04007,0.69231,0.6219,0.64961,0.38386,1.35496,0.88454,1.70709,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14688.9,0.66381,0.44012,1.04167,0.71767,0.61015,0.6435,0.37785,1.35725,0.8851,1.70573,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14855.9,0.653,0.43525,1.03551,0.72794,0.60513,0.64252,0.3774,1.35861,0.88611,1.7093,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,15026.5,0.65092,0.43127,1.03119,0.7139,0.60879,0.64247,0.37573,1.36264,0.88615,1.71323,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,15193.9,0.6402,0.42757,1.0306,0.70266,0.62046,0.65015,0.38097,1.36056,0.87847,1.71464,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15361.3,0.57255,0.30559,0.97856,0.71303,0.6099,0.65036,0.38127,1.35409,0.87055,1.71065,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15525.6,0.54819,0.29108,0.96737,0.72821,0.60096,0.64779,0.37908,1.35376,0.87683,1.71626,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15690.2,0.53717,0.2849,0.96209,0.72272,0.60163,0.65252,0.38192,1.35009,0.87718,1.72115,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15854.6,0.52759,0.28202,0.95897,0.69606,0.61166,0.65227,0.38266,1.34929,0.88039,1.73262,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,16019,0.51333,0.27394,0.95222,0.66849,0.63907,0.65245,0.38409,1.35345,0.88751,1.74697,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16184,0.50955,0.27413,0.94956,0.69451,0.61363,0.6512,0.38441,1.35471,0.88844,1.75521,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16348.3,0.5001,0.26707,0.94077,0.66338,0.64004,0.65467,0.38628,1.35164,0.89368,1.75608,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16512.3,0.48687,0.26132,0.93529,0.66707,0.64067,0.65273,0.38437,1.3489,0.89307,1.75701,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16676.9,0.48547,0.26121,0.93219,0.72371,0.59786,0.65314,0.38554,1.3475,0.89338,1.76016,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16842,0.4758,0.2557,0.93074,0.732,0.59365,0.65261,0.3855,1.34628,0.89893,1.76097,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
